# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# VVN      = Minimum opgetreden zicht; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# VVXH     = Uurvak waarin VVX is gemeten; 
# 
# STN,YYYYMMDD,  VVN, VVXH
# 
  242,19961122,   62,   22
  242,19961123,   63,   12
  242,19961124,   57,    1
  242,19961125,   35,   20
  242,19961126,   60,    2
  242,19961127,   60,   24
  242,19961128,   30,   12
  242,19961129,   20,    1
  242,19961130,   58,   15
  242,19961201,   21,    3
  242,19961202,   50,    6
  242,19961203,   15,   20
  242,19961204,   61,   10
  242,19961205,    0,    2
  242,19961206,    0,   23
  242,19961207,    1,    1
  242,19961208,    0,    6
  242,19961209,    1,   19
  242,19961210,   14,   21
  242,19961211,   10,   23
  242,19961212,   15,    1
  242,19961213,   24,   15
  242,19961214,   57,    5
  242,19961215,   19,    2
  242,19961216,   10,    3
  242,19961217,    0,    1
  242,19961218,    0,    3
  242,19961219,   46,   20
  242,19961220,   17,    7
  242,19961221,   84,    1
  242,19961222,   82,    1
  242,19961223,   64,    2
  242,19961224,   83,    3
  242,19961225,   59,    4
  242,19961226,   61,   18
  242,19961227,   70,    6
  242,19961228,   68,   23
  242,19961229,   14,   22
  242,19961230,   10,    4
  242,19961231,   57,   18
  242,19970101,   64,    1
  242,19970102,   43,   13
  242,19970103,   58,   10
  242,19970104,   67,    9
  242,19970105,    9,    3
  242,19970106,    7,    3
  242,19970107,    2,    7
  242,19970108,    4,   18
  242,19970109,   50,    9
  242,19970110,   49,   10
  242,19970111,   19,   24
  242,19970112,    2,    1
  242,19970113,    2,   20
  242,19970114,   45,    5
  242,19970115,    2,    1
  242,19970116,   20,   19
  242,19970117,   15,   21
  242,19970118,    0,   12
  242,19970119,    0,   19
  242,19970120,    0,   12
  242,19970121,    2,    6
  242,19970122,   11,   16
  242,19970123,    1,   20
  242,19970124,    0,   23
  242,19970125,   21,    7
  242,19970126,    1,   23
  242,19970127,    1,   14
  242,19970128,    2,    6
  242,19970129,    1,   22
  242,19970130,   48,    9
  242,19970131,   12,   14
  242,19970201,   50,   10
  242,19970202,    1,    4
  242,19970203,    1,    6
  242,19970204,   14,   22
  242,19970205,     ,     
  242,19970206,     ,     
  242,19970207,   10,   23
  242,19970208,    1,    4
  242,19970209,    2,    9
  242,19970210,    3,   18
  242,19970211,   22,    6
  242,19970212,    3,   20
  242,19970213,   26,    6
  242,19970214,   49,   10
  242,19970215,   20,    5
  242,19970216,    1,   16
  242,19970217,   40,   15
  242,19970218,   40,   12
  242,19970219,   50,   16
  242,19970220,   50,    6
  242,19970221,   37,   21
  242,19970222,    4,   24
  242,19970223,   50,    2
  242,19970224,   30,    3
  242,19970225,   36,    6
  242,19970226,   47,    3
  242,19970227,   47,   19
  242,19970228,   35,    7
  242,19970301,    8,   19
  242,19970302,   40,   15
  242,19970303,    6,   13
  242,19970304,    1,   10
  242,19970305,    1,   15
  242,19970306,   14,   23
  242,19970307,   20,    1
  242,19970308,   18,   24
  242,19970309,   32,    2
  242,19970310,    0,   11
  242,19970311,    1,   19
  242,19970312,    0,   24
  242,19970313,    4,   12
  242,19970314,   12,   24
  242,19970315,    2,   24
  242,19970316,    9,    1
  242,19970317,   50,    9
  242,19970318,   15,   18
  242,19970319,   21,   24
  242,19970320,   61,   10
  242,19970321,   57,   21
  242,19970322,   70,    1
  242,19970323,   10,    6
  242,19970324,    8,    6
  242,19970325,    6,   22
  242,19970326,   25,   24
  242,19970327,   56,    2
  242,19970328,   56,    3
  242,19970329,   56,    9
  242,19970330,   58,   17
  242,19970331,   40,    9
  242,19970401,   25,   17
  242,19970402,   35,   23
  242,19970403,   38,   12
  242,19970404,   58,   24
  242,19970405,   17,   23
  242,19970406,   61,   20
  242,19970407,   70,    1
  242,19970408,   65,    9
  242,19970409,   32,    1
  242,19970410,    1,   24
  242,19970411,   34,    1
  242,19970412,   49,   10
  242,19970413,   27,   14
  242,19970414,   35,   18
  242,19970415,   60,    1
  242,19970416,   38,   23
  242,19970417,   65,    2
  242,19970418,   62,   10
  242,19970419,   64,   21
  242,19970420,   78,    3
  242,19970421,   57,    1
  242,19970422,   66,   23
  242,19970423,   64,    2
  242,19970424,   56,    1
  242,19970425,   57,   24
  242,19970426,   56,    1
  242,19970427,    0,    1
  242,19970428,    3,   20
  242,19970429,    7,    2
  242,19970430,   36,   17
  242,19970501,    1,   21
  242,19970502,   18,    2
  242,19970503,    0,    9
  242,19970504,   18,   11
  242,19970505,   58,   23
  242,19970506,   48,   24
  242,19970507,   80,    5
  242,19970508,   65,   14
  242,19970509,   60,    3
  242,19970510,   41,   22
  242,19970511,   58,   21
  242,19970512,   65,    1
  242,19970513,   60,   16
  242,19970514,   59,    1
  242,19970515,    0,   15
  242,19970516,   26,   18
  242,19970517,   11,   10
  242,19970518,    8,   12
  242,19970519,   10,   12
  242,19970520,   30,   18
  242,19970521,   35,   21
  242,19970522,   59,   14
